"ts_code","name"
"017671.OF","浦银安盛普旭3个月定开"
"017563.OF","太平同业存单指数7天持有"
"016841.OF","博道惠泰优选C"
"015856.OF","格林碳中和主题A"
"017627.OF","长城港股通价值精选多策略C"
"015803.OF","鹏华稳健恒利C"
"016631.OF","易方达中证1000联接C"
"017616.OF","广发安颐一年持有C"
"015857.OF","格林碳中和主题C"
"014859.OF","大成慧心优选一年持有A"
"016840.OF","博道惠泰优选A"
"013380.OF","景顺长城景泰纯利C"
"017150.OF","天弘稳健回报C"
"015802.OF","鹏华稳健恒利A"
"017729.OF","景顺长城景泰裕利纯债C"
"014860.OF","大成慧心优选一年持有C"
"017225.OF","国泰悦益六个月持有C"
"017224.OF","国泰悦益六个月持有A"
"017615.OF","广发安颐一年持有A"
"015759.OF","国投瑞银兴顺3个月持有A"
"017663.OF","泓德汽车产业升级A"
"017588.OF","中欧盈选稳健6个月持有C"
"016807.OF","华宝安融六个月持有C"
"015974.OF","工银恒嘉一年持有C"
"016419.OF","国泰安璟A"
"016983.OF","华泰柏瑞安盛一年持有A"
"015486.OF","平安策略优选1年持有C"
"015485.OF","平安策略优选1年持有A"
"017113.OF","嘉实优享生活C"
"017112.OF","嘉实优享生活A"
"017587.OF","中欧盈选稳健6个月持有A"
"017787.OF","万家宏观择时多策略C"
"017771.OF","华夏聚利C"
"014525.OF","汇添富制造业升级研究精选一年持有C"
"014524.OF","汇添富制造业升级研究精选一年持有A"
"015737.OF","长盛均衡回报A"
"015738.OF","长盛均衡回报C"
"015760.OF","国投瑞银兴顺3个月持有C"
"016420.OF","国泰安璟C"
"015973.OF","工银恒嘉一年持有A"
"159688.SZ","恒生互联网ETF"
"016651.OF","汇丰晋信慧嘉A"
"016652.OF","汇丰晋信慧嘉C"
"017497.OF","南方养老目标日期2060五年持有"
"017459.OF","汇添富丰和纯债A"
"017460.OF","汇添富丰和纯债C"
"016806.OF","华宝安融六个月持有A"
"017691.OF","国投瑞银稳定增利A"
"017664.OF","泓德汽车产业升级C"
"017780.OF","上银慧盈利A"
"017626.OF","长城久惠C"
"017781.OF","上银慧盈利E"
"016984.OF","华泰柏瑞安盛一年持有C"
"017806.OF","中加恒泰三个月定开C"
"015724.OF","英大碳中和A"
"015725.OF","英大碳中和C"
"159652.SZ","有色50ETF"
"016478.OF","光大保德信专精特新C"
"016477.OF","光大保德信专精特新A"
"016890.OF","鹏华稳健增利C"
"017777.OF","工银开元利率债F"
"017763.OF","银河领先债券C"
"016889.OF","鹏华稳健增利A"
"159666.SZ","交通运输ETF"
"017555.OF","融通增享纯债C"
"017732.OF","鹏华核心优势C"
"016903.OF","鑫元欣悦C"
"016902.OF","鑫元欣悦A"
"017701.OF","方正富邦同业存单指数7天持有"
"010670.OF","兴全合兴C"
"016271.OF","华安养老目标日期2035三年持有"
"017306.OF","国寿安保超短债C"
"508098.SH","嘉实京东仓储基础设施REIT"
"017305.OF","国寿安保超短债A"
"017650.OF","中庚港股通价值18个月封闭"
"017687.OF","永赢昭利A"
"017688.OF","永赢昭利C"
"016115.OF","华安养老目标日期2050五年持有"
"017417.OF","易方达裕如C"
"014898.OF","国泰民享稳健养老一年持有"
"017432.OF","交银稳安60天滚动A"
