ts_code,name
003632.OF,招商稳乾定期开放A
003633.OF,招商稳乾定期开放C
003971.OF,华泰柏瑞兴利C
003970.OF,华泰柏瑞兴利A
003762.OF,国开泰富开泰A
519622.OF,银河君怡纯债
519628.OF,银河君润C
519627.OF,银河君润A
004173.OF,嘉实增益宝A
003005.OF,华夏鼎益A
003006.OF,华夏鼎益I
003014.OF,中融恒泰纯债C
003691.OF,农银汇理金泰一年定期
003086.OF,中融0-1年中高等级C
003013.OF,中融恒泰纯债A
003085.OF,中融0-1年中高等级A
003082.OF,中融1-3年中高等级C
003081.OF,中融1-3年中高等级A
004201.OF,华夏财富宝B
000910.OF,鑫元合丰纯债C
000911.OF,鑫元合丰纯债A
003422.OF,国寿安保添利A
003423.OF,国寿安保添利B
003665.OF,新沃通利C
003664.OF,新沃通利A
003877.OF,富国久利稳健配置A
003530.OF,东方永熙18个月A
003531.OF,东方永熙18个月C
003878.OF,富国久利稳健配置C
003763.OF,国开泰富开泰C
001310.OF,华泰柏瑞行业竞争优势
003677.OF,融通通穗
519765.OF,交银卓越回报C
004097.OF,农银汇理日日鑫A
003467.OF,富荣货币A
003468.OF,富荣货币B
001765.OF,前海开源嘉鑫A
004090.OF,汇添富鑫瑞C
004089.OF,汇添富鑫瑞A
160323.SZ,华夏磐泰LOF
001770.OF,前海开源嘉鑫C
003078.OF,泰康安惠纯债A
003752.OF,工银如意A
003753.OF,工银如意B
001498.OF,建信鑫荣回报A
003126.OF,长信易进A
003127.OF,长信易进C
000914.OF,中加纯债
003652.OF,招商招泰6个月定开A
003653.OF,招商招泰6个月定开C
003754.OF,国泰普益A
001850.OF,国泰安益A
003755.OF,国泰普益C
003515.OF,国泰利是宝
002126.OF,广发鑫富A
002127.OF,广发鑫富C
003674.OF,融通通玺
003462.OF,新华鑫盛
003083.OF,中融1-3年信用债A
003646.OF,创金合信中证1000增强A
003080.OF,中融3-5年信用债C
003647.OF,创金合信中证1000增强C
003079.OF,中融3-5年信用债A
003684.OF,汇安丰融A
003084.OF,中融1-3年信用债C
003460.OF,嘉实现金宝A
004068.OF,中融鑫回报C
003888.OF,汇安嘉源纯债
004011.OF,华泰柏瑞鼎利C
004010.OF,华泰柏瑞鼎利A
004059.OF,鑫元招利
004118.OF,博时裕鹏纯债
004067.OF,中融鑫回报A
501009.SH,生物科技LOF
003685.OF,汇安丰融C
002863.OF,金信深圳成长
501007.SH,互联网医疗LOF
501008.SH,互联网医疗LOFC
501010.SH,生物科技LOFC
003836.OF,新沃鑫禧
003940.OF,银华盛世精选A
003851.OF,中银锦利C
003850.OF,中银锦利A
004167.OF,安信活期宝B
002808.OF,泓德优势领航
004060.OF,博时兴盛B
003477.OF,南方睿见定期开放
003449.OF,招商招华纯债C
003448.OF,招商招华纯债A
003728.OF,融通通宸
002433.OF,天弘金利
001816.OF,汇添富新睿精选A
002164.OF,汇添富新睿精选C
168301.SZ,东海祥龙LOF
003557.OF,博时泰安A
003558.OF,博时泰安C
003901.OF,交银瑞景定期开放
003856.OF,国都聚鑫定期开放
004116.OF,嘉实新添瑞
003437.OF,博时鑫丰C
003436.OF,博时鑫丰A
003481.OF,光大耀钱包B
003333.OF,泰信智选成长A
003969.OF,交银天益宝E
003968.OF,交银天益宝A
004039.OF,中欧骏泰B
003749.OF,创金合信鑫收益A
003629.OF,摩根全球多元人民币
003750.OF,创金合信鑫收益C
003630.OF,摩根全球多元美元现钞
003887.OF,汇安丰利C
003631.OF,摩根全球多元美元现汇
003886.OF,汇安丰利A
003366.OF,浙商汇金中证转型成长
519332.OF,浦银安盛盛达纯债A
161129.SZ,原油LOF易方达
519333.OF,浦银安盛盛达纯债C
003321.OF,易方达原油C人民币
003947.OF,博时聚享纯债
002111.OF,华宝新起点
168106.SZ,九泰盈华LOF
168107.OF,九泰盈华量化C
003322.OF,易方达原油A美元现汇
003323.OF,易方达原油C美元现汇
003896.OF,安信新视野C
003895.OF,安信新视野A
003788.OF,方正富邦惠利纯债C
003963.OF,博时慧选纯债3个月
003787.OF,方正富邦惠利纯债A
002841.OF,九泰久鑫C
002840.OF,九泰久鑫A
1627171.SZ,再融资LOF
004078.OF,金信民发货币B
004077.OF,金信民发货币A
003627.OF,兴银长富一年定开
003824.OF,天弘信利A
003949.OF,兴全稳泰A
003825.OF,天弘信利C
004018.OF,招商兴华A
004019.OF,招商兴华C
003417.OF,中加丰泽
003675.OF,博时安慧18个月A
003795.OF,方正富邦睿利纯债A
003796.OF,方正富邦睿利纯债C
003643.OF,工银瑞信国债纯债C
003342.OF,工银瑞信国债纯债A
003676.OF,博时安慧18个月C
001647.OF,天弘聚利
003903.OF,德邦锐璟C
003902.OF,德邦锐璟A
001786.OF,国泰信益
003116.OF,光大诚鑫C
003115.OF,光大诚鑫A
003775.OF,国联安鑫利C
519931.OF,长信上证港股通
003774.OF,国联安鑫利A
003962.OF,易方达瑞程C
003961.OF,易方达瑞程A
003860.OF,招商招旭纯债C
003859.OF,招商招旭纯债A
003513.OF,中邮消费升级
002816.OF,招商招益C
002815.OF,招商招益A
003401.OF,工银可转债
002179.OF,华安事件驱动量化策略A
002893.OF,华夏移动互联美元现钞
002892.OF,华夏移动互联美元现汇
003476.OF,南方安颐
002891.OF,华夏移动互联人民币
003849.OF,中银广利C
003848.OF,中银广利A
003966.OF,中银润利A
003967.OF,中银润利C
003900.OF,交银瑞鑫六个月持有A
161128.SZ,标普信息科技LOF
003812.OF,中金金利C
003811.OF,中金金利A
003780.OF,鹏华兴悦
161127.SZ,标普生物科技LOF
002347.OF,华夏鼎诚I
002346.OF,华夏鼎诚A
002221.OF,嘉实价值增强
003721.OF,易方达标普信息科技A美元现汇
003720.OF,易方达标普生物科技美元现汇A
003717.OF,中银量化精选A
002996.OF,长信稳健纯债A
003284.OF,中邮医药健康
519210.OF,万家恒景18个月A
519211.OF,万家恒景18个月C
161627.OF,融通通福C
161626.SZ,融通通福LOF
003993.OF,前海开源沪港深核心驱动
519625.OF,银河君盛A
519626.OF,银河君盛C
003805.OF,华安新恒利A
003799.OF,华安新泰利A
003876.OF,华宝沪深300指数增强A
003800.OF,华安新泰利C
003603.OF,景顺长城泰安A
003604.OF,景顺长城泰安C
001710.OF,安信新趋势A
001711.OF,安信新趋势C
003806.OF,华安新恒利C
002455.OF,民生加银鑫喜
003694.OF,国泰景益A
003695.OF,国泰景益C
003687.OF,国泰丰益C
160524.OF,博时弘泰
003686.OF,国泰丰益A
003944.OF,国泰泽益C
003943.OF,国泰泽益A
003983.OF,鹏华丰惠
003941.OF,国泰鑫益A
003942.OF,国泰鑫益C
002119.OF,广发安盈C
002118.OF,广发安盈A
003483.OF,交银天鑫宝E
003482.OF,交银天鑫宝A
003810.OF,招商招顺纯债C
003864.OF,招商招祥纯债C
003570.OF,招商招丰纯债C
003950.OF,博时鑫润A
003951.OF,博时鑫润C
003308.OF,中信建投睿利A
002793.OF,景顺长城顺益回报C
003510.OF,长盛可转债A
002792.OF,景顺长城顺益回报A
003511.OF,长盛可转债C
003634.OF,嘉实农业产业A
003615.OF,信诚景瑞C
003614.OF,信诚景瑞A
003424.OF,江信洪福纯债
003499.OF,前海联合添和C
003572.OF,招商招琪纯债C
003571.OF,招商招琪纯债A
003498.OF,前海联合添和A
003863.OF,招商招祥纯债A
003839.OF,易方达瑞通A
003809.OF,招商招顺纯债A
003569.OF,招商招丰纯债A
003840.OF,易方达瑞通C
169201.SZ,浙商鼎盈LOF
003672.OF,兴业裕华
003442.OF,招商招惠三个月定开A
003465.OF,平安金管家A
003789.OF,工银瑞信丰益一年
001659.OF,富安达新动力
003626.OF,平安鑫利A
003443.OF,招商招惠三个月定开C
003316.OF,中银证券现金管家A
003317.OF,中银证券现金管家B
002007.OF,工银瑞信新得润
003124.OF,天治鑫利C
003123.OF,天治鑫利A
003529.OF,汇添富长添利C
003528.OF,汇添富长添利A
003776.OF,南方宣利定期开放A
003777.OF,南方宣利定期开放C
003862.OF,招商兴福C
003861.OF,招商兴福A
003563.OF,工银瑞信国际原油美元
003820.OF,华夏新锦鸿A
003503.OF,金鹰鑫瑞C
003502.OF,金鹰鑫瑞A
003821.OF,华夏新锦鸿C
003930.OF,中银证券安进C
003929.OF,中银证券安进A
003891.OF,汇安嘉裕A
675072.OF,西部利得天添金货币B
002122.OF,广发新常态
673081.OF,西部利得祥运A
673083.OF,西部利得祥运C
675071.OF,西部利得天添金货币A
003892.OF,鹏华普泰
003818.OF,银华上证5年期国债C
003815.OF,银华上证10年期国债C
003814.OF,银华上证10年期国债A
003817.OF,银华上证5年期国债A
160922.SZ,恒生中小LOF
003742.OF,汇安嘉汇A
002550.OF,嘉实稳荣
003478.OF,民生加银腾元宝A
161125.SZ,标普500LOF
003835.OF,鹏华沪深港新兴成长
003830.OF,建信鑫悦回报
003718.OF,易方达标普500A美元现汇
003292.OF,嘉实优势成长A
003150.OF,中欧睿诚定开A
003151.OF,中欧睿诚定开C
003798.OF,华安新瑞利C
003797.OF,华安新瑞利A
001758.OF,嘉实研究增强
003875.OF,浙商日添金B
003874.OF,浙商日添金A
002898.OF,富国两年期理财A
002899.OF,富国两年期理财C
003362.OF,国联安睿利定期开放
002846.OF,泓德泓华
003832.OF,中银丰润定期开放
003229.OF,浦银安盛日日鑫B
003475.OF,前海联合沪深300A
003228.OF,浦银安盛日日鑫A
003708.OF,博时民丰纯债A
003709.OF,博时民丰纯债C
003847.OF,华安鼎丰A
002683.OF,民生加银前沿科技
003663.OF,鹏华兴泰
003739.OF,新华鑫弘
003713.OF,英大睿盛A
003714.OF,英大睿盛C
003751.OF,万家瑞隆A
003546.OF,长城久信
003772.OF,国联安鑫盛A
003773.OF,国联安鑫盛C
002780.OF,前海联合泓鑫A
003219.OF,前海开源祥和C
