"ts_code","symbol","name","area","industry","market","list_date"
"002975.SZ","002975","博杰股份","广东","专用机械","中小板","20200205"
"002976.SZ","002976","瑞玛精密","江苏","元器件","中小板","20200306"
"002977.SZ","002977","天箭科技","四川","通信设备","中小板","20200317"
"002978.SZ","002978","安宁股份","四川","小金属","中小板","20200417"
"002979.SZ","002979","雷赛智能","深圳","专用机械","中小板","20200408"
"002980.SZ","002980","华盛昌","深圳","电器仪表","中小板","20200415"
"002981.SZ","002981","朝阳科技","广东","元器件","中小板","20200417"
"002982.SZ","002982","湘佳股份","湖南","农业综合","中小板","20200424"
"002983.SZ","002983","芯瑞达","安徽","元器件","中小板","20200428"
"002984.SZ","002984","森麒麟","山东","汽车配件","中小板","20200911"
"002985.SZ","002985","北摩高科","北京","航空","中小板","20200429"
"002986.SZ","002986","宇新股份","湖南","化工原料","中小板","20200602"
"002987.SZ","002987","京北方","北京","软件服务","中小板","20200507"
"002988.SZ","002988","豪美新材","广东","铝","中小板","20200518"
"002989.SZ","002989","中天精装","深圳","装修装饰","中小板","20200610"
"002990.SZ","002990","盛视科技","深圳","软件服务","中小板","20200525"
"002991.SZ","002991","甘源食品","江西","食品","中小板","20200731"
"002992.SZ","002992","宝明科技","深圳","元器件","中小板","20200803"
"002993.SZ","002993","奥海科技","广东","元器件","中小板","20200817"
"002995.SZ","002995","天地在线","北京","互联网","中小板","20200805"
"002996.SZ","002996","顺博合金","重庆","铝","中小板","20200828"
"002997.SZ","002997","瑞鹄模具","安徽","专用机械","中小板","20200903"
"002998.SZ","002998","优彩资源","江苏","化纤","中小板","20200925"
"002999.SZ","002999","天禾股份","广东","批发业","中小板","20200903"
"003000.SZ","003000","劲仔食品","湖南","食品","主板","20200914"
"003001.SZ","003001","中岩大地","北京","建筑工程","主板","20201013"
"003002.SZ","003002","壶化股份","山西","化工原料","主板","20200922"
"003003.SZ","003003","天元股份","广东","广告包装","主板","20200921"
"003004.SZ","003004","声迅股份","北京","软件服务","主板","20201126"
"003005.SZ","003005","竞业达","北京","软件服务","主板","20200922"
"003006.SZ","003006","百亚股份","重庆","造纸","主板","20200921"
"003007.SZ","003007","直真科技","北京","软件服务","主板","20200923"
"003008.SZ","003008","开普检测","河南","电气设备","主板","20200923"
"003009.SZ","003009","中天火箭","陕西","航空","主板","20200925"
"003010.SZ","003010","若羽臣","广东","互联网","主板","20200925"
"003011.SZ","003011","海象新材","浙江","家居用品","主板","20200930"
"003012.SZ","003012","东鹏控股","广东","陶瓷","主板","20201019"
"003013.SZ","003013","地铁设计","广东","建筑工程","主板","20201022"
"003015.SZ","003015","日久光电","江苏","元器件","主板","20201021"
